function,gasUsage
addSol,22338
addASM,21974
addSA,21479
subSol,22426
subASM,21975
subSA,21501
mulSol,22478
mulASM,21975
mulSA,21501
divSol,22397
divASM,21998
divSA,21547
expSol,22615
expASM,22054
expSA,21624
onlyOwnerSol,23450
onlyOwnerASM,23311
onlyOwnerSA,23226
transferSol,31452
transferASM,31175
transferSA,30812
deploySol,110265
deploySA,68883
crowdfundingFundSol,53490
crowdfundingFundASM,52880
crowdfundingFundSA,52851
crowdfundingPayoutSol,34070
crowdfundingPayoutASM,35243
crowdfundingPayoutSA,35186
